epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9631.66,1.00846,0.93831,1.25717,0.73377,0.59737,0.67059,0.47376,1.06301,1.0269,1.28146,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9930.79,0.99438,0.92904,1.25271,0.73515,0.60815,0.67963,0.47983,1.05741,1.00988,1.27665,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10231.1,1.01021,0.92849,1.25374,0.73112,0.61062,0.6812,0.48422,1.05247,1.002,1.2715,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10529.6,0.99317,0.90232,1.24382,0.74956,0.60426,0.68223,0.48315,1.05728,0.99768,1.27601,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10827.6,0.98005,0.89323,1.24102,0.75606,0.60537,0.68609,0.48859,1.04274,0.98029,1.26342,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11125.4,0.98346,0.88904,1.24106,0.75252,0.61085,0.69108,0.48986,1.03784,0.97695,1.26036,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11421.9,0.97381,0.86568,1.23029,0.75357,0.61068,0.69028,0.49244,1.03936,0.97436,1.26049,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11718.1,0.97624,0.86312,1.22977,0.75616,0.62377,0.6977,0.49607,1.04021,0.96305,1.25698,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12014.8,0.95056,0.8435,1.22127,0.7681,0.60877,0.6927,0.4932,1.03899,0.96698,1.25677,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12310.7,0.95177,0.81562,1.22916,0.75178,0.61903,0.6929,0.49348,1.03443,0.96544,1.25463,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12606.6,0.92729,0.77726,1.212,0.75272,0.62102,0.69407,0.49693,1.03068,0.96558,1.2547,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12904,0.92409,0.76393,1.21556,0.77191,0.60865,0.69131,0.49378,1.03365,0.96525,1.25941,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,13200.1,0.91806,0.74343,1.20695,0.7619,0.61734,0.69235,0.49565,1.03384,0.95883,1.25825,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,13496.7,0.90461,0.73107,1.19894,0.77562,0.61628,0.69536,0.49815,1.03389,0.9557,1.25805,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,13792.7,0.897,0.71099,1.19376,0.77317,0.61793,0.69579,0.49889,1.03366,0.95694,1.25675,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,14087.7,0.89509,0.70724,1.19286,0.76934,0.62181,0.69427,0.49775,1.0327,0.95787,1.2532,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,14383.4,0.88249,0.68925,1.17945,0.77571,0.61523,0.69345,0.49815,1.02933,0.96149,1.25177,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,14679.2,0.87892,0.6766,1.17583,0.77214,0.61511,0.69328,0.49752,1.02955,0.96116,1.25096,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,14974.9,0.86732,0.66286,1.16853,0.77074,0.61825,0.69285,0.49681,1.03002,0.9611,1.25159,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
