epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.719,1.09535,2.84106,1.4219,0.37665,0.34181,0.29058,0.19732,1.31129,2.30216,1.42859,0.000332905,0.000332905,0.0670424
2,264.884,0.93097,1.67108,1.29288,0.5111,0.42515,0.42612,0.30097,1.2435,1.77695,1.34543,0.000653047,0.000653047,0.0340292
3,394.217,0.88495,1.3898,1.25546,0.5738,0.45641,0.48321,0.34036,1.24904,1.65613,1.34497,0.000959989,0.000959989,0.00100278
4,522.541,0.86,1.25227,1.22575,0.6249,0.48228,0.5276,0.37126,1.20692,1.5013,1.31029,0.0009406,0.0009406,0.0009406
5,651.011,0.84844,1.15688,1.21852,0.63027,0.4897,0.52911,0.37206,1.20656,1.47428,1.3011,0.0009208,0.0009208,0.0009208
6,779.786,0.83958,1.09892,1.20897,0.61864,0.51197,0.55039,0.38707,1.20417,1.43638,1.29827,0.000901,0.000901,0.000901
7,908.448,0.82467,1.04978,1.19299,0.65871,0.51676,0.56943,0.40523,1.18307,1.42108,1.27539,0.0008812,0.0008812,0.0008812
8,1036.66,0.80578,0.99567,1.18512,0.66679,0.53603,0.58945,0.42313,1.179,1.37944,1.27114,0.0008614,0.0008614,0.0008614
9,1165.31,0.80128,0.97329,1.17892,0.68365,0.52904,0.59863,0.43218,1.16707,1.3654,1.26022,0.0008416,0.0008416,0.0008416
10,1294.23,0.79038,0.94053,1.1728,0.66849,0.55066,0.60026,0.43563,1.16369,1.36879,1.26266,0.0008218,0.0008218,0.0008218
11,1422.64,0.78588,0.92024,1.16774,0.6545,0.54245,0.59494,0.42832,1.16247,1.36913,1.26099,0.000802,0.000802,0.000802
12,1551.3,0.78238,0.90303,1.16341,0.70658,0.53071,0.60471,0.44373,1.14654,1.32923,1.25383,0.0007822,0.0007822,0.0007822
13,1679.85,0.77008,0.87235,1.1615,0.69385,0.55475,0.61299,0.44695,1.15744,1.32898,1.25196,0.0007624,0.0007624,0.0007624
14,1808.37,0.77701,0.8634,1.15674,0.69552,0.56877,0.62427,0.44941,1.15419,1.31549,1.25077,0.0007426,0.0007426,0.0007426
15,1936.99,0.7681,0.84197,1.1539,0.69991,0.5565,0.61578,0.44622,1.15342,1.32189,1.25488,0.0007228,0.0007228,0.0007228
16,2065.53,0.75611,0.82825,1.14611,0.70696,0.55349,0.61402,0.44938,1.14947,1.30687,1.25012,0.000703,0.000703,0.000703
17,2194.06,0.75679,0.8073,1.14075,0.69471,0.55173,0.61542,0.44677,1.15067,1.30135,1.25036,0.0006832,0.0006832,0.0006832
18,2323.01,0.76256,0.80535,1.14209,0.69183,0.57715,0.62766,0.45839,1.1502,1.30344,1.24738,0.0006634,0.0006634,0.0006634
19,2451.39,0.73673,0.77248,1.13377,0.72441,0.56152,0.63043,0.4633,1.13901,1.29143,1.23818,0.0006436,0.0006436,0.0006436
20,2579.93,0.73848,0.77485,1.13105,0.74019,0.55296,0.62647,0.46109,1.13895,1.3189,1.23427,0.0006238,0.0006238,0.0006238
21,2708.6,0.73959,0.76435,1.12784,0.71507,0.57119,0.63783,0.4719,1.1384,1.28436,1.23211,0.000604,0.000604,0.000604
22,2837.12,0.73446,0.75573,1.12573,0.69885,0.57686,0.63246,0.4664,1.13914,1.31934,1.24028,0.0005842,0.0005842,0.0005842
23,2965.52,0.73458,0.74093,1.12595,0.7026,0.58652,0.63517,0.46758,1.13559,1.28828,1.23276,0.0005644,0.0005644,0.0005644
24,3094.03,0.72649,0.72983,1.12186,0.7165,0.56994,0.63005,0.46556,1.1328,1.32013,1.22894,0.0005446,0.0005446,0.0005446
25,3222.51,0.72221,0.70909,1.11425,0.71991,0.56107,0.62541,0.46299,1.13934,1.31728,1.23077,0.0005248,0.0005248,0.0005248
26,3350.93,0.72048,0.70842,1.11516,0.72266,0.56715,0.63388,0.47087,1.1359,1.29502,1.22858,0.000505,0.000505,0.000505
27,3479.45,0.71144,0.69781,1.10887,0.70557,0.58432,0.63881,0.47074,1.12724,1.27446,1.22689,0.0004852,0.0004852,0.0004852
28,3607.9,0.71339,0.69763,1.1142,0.7166,0.57722,0.63209,0.4697,1.12759,1.29764,1.23177,0.0004654,0.0004654,0.0004654
29,3736.14,0.7021,0.67894,1.10247,0.70987,0.59151,0.64001,0.47177,1.13201,1.29316,1.23231,0.0004456,0.0004456,0.0004456
