epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7383,1.02552,1.91643,1.28459,0.46752,0.36444,0.3362,0.20808,1.5142,2.13979,1.46766,0.000332905,0.000332905,0.000332905
2,177.501,1.08229,1.63592,1.33442,0.45297,0.33396,0.32387,0.19795,1.59676,2.14087,1.50744,0.000653047,0.000653047,0.000653047
3,260.859,1.08943,1.60168,1.33459,0.48574,0.38302,0.37585,0.23726,1.54454,1.89285,1.48115,0.000959989,0.000959989,0.000959989
4,343.005,1.05187,1.51107,1.30086,0.56984,0.40579,0.43073,0.28628,1.4444,1.74114,1.40473,0.0009406,0.0009406,0.0009406
5,424.551,1.01154,1.41411,1.27794,0.53098,0.43707,0.45096,0.29146,1.42546,1.63991,1.38334,0.0009208,0.0009208,0.0009208
6,505.687,0.98581,1.35263,1.26131,0.57703,0.44054,0.47254,0.31639,1.37594,1.60626,1.35557,0.000901,0.000901,0.000901
7,586.566,0.96018,1.29828,1.24482,0.56856,0.43574,0.44624,0.30666,1.382,1.66776,1.34513,0.0008812,0.0008812,0.0008812
8,667.405,0.93319,1.24106,1.22829,0.61115,0.4709,0.50466,0.34164,1.36073,1.55676,1.32816,0.0008614,0.0008614,0.0008614
9,748.343,0.92425,1.21046,1.22109,0.64583,0.45791,0.50424,0.34865,1.35029,1.52358,1.32055,0.0008416,0.0008416,0.0008416
10,829.236,0.90517,1.16551,1.20843,0.61678,0.46819,0.51325,0.35573,1.32956,1.50163,1.29202,0.0008218,0.0008218,0.0008218
11,910.376,0.89824,1.13551,1.20162,0.63299,0.48174,0.52819,0.37006,1.30219,1.45711,1.26545,0.000802,0.000802,0.000802
12,991.47,0.88774,1.11892,1.19314,0.65006,0.48562,0.53331,0.37407,1.28879,1.44835,1.27408,0.0007822,0.0007822,0.0007822
13,1072.78,0.87107,1.08444,1.18713,0.64594,0.51168,0.55233,0.38832,1.28382,1.40602,1.26116,0.0007624,0.0007624,0.0007624
14,1153.87,0.87455,1.06871,1.18436,0.6725,0.50314,0.56268,0.39319,1.28312,1.39313,1.26141,0.0007426,0.0007426,0.0007426
15,1234.86,0.86211,1.04724,1.17713,0.65696,0.50902,0.557,0.39245,1.28049,1.36902,1.25557,0.0007228,0.0007228,0.0007228
16,1315.58,0.85242,1.02909,1.17042,0.67928,0.51702,0.5728,0.40812,1.25188,1.32727,1.23674,0.000703,0.000703,0.000703
17,1396.57,0.84456,0.99865,1.16548,0.65372,0.52352,0.57387,0.40843,1.23387,1.31545,1.23038,0.0006832,0.0006832,0.0006832
18,1477.65,0.84966,0.98468,1.16191,0.65027,0.53364,0.57288,0.41256,1.24059,1.33972,1.23876,0.0006634,0.0006634,0.0006634
19,1558.46,0.8187,0.94397,1.14907,0.7074,0.51844,0.58321,0.41421,1.23853,1.30224,1.2293,0.0006436,0.0006436,0.0006436
20,1639.13,0.81966,0.94416,1.1475,0.64959,0.53751,0.58127,0.42305,1.23026,1.34391,1.22996,0.0006238,0.0006238,0.0006238
21,1720.29,0.81587,0.92775,1.14396,0.69805,0.5413,0.59996,0.43068,1.23647,1.29242,1.22737,0.000604,0.000604,0.000604
22,1801.33,0.80539,0.91086,1.14149,0.69773,0.53929,0.60001,0.43886,1.20703,1.28944,1.21321,0.0005842,0.0005842,0.0005842
23,1882.03,0.80602,0.89794,1.13667,0.71404,0.54299,0.60397,0.43821,1.21152,1.2504,1.20928,0.0005644,0.0005644,0.0005644
24,1963.13,0.79815,0.88098,1.13407,0.7135,0.54152,0.60115,0.4405,1.21408,1.29008,1.21726,0.0005446,0.0005446,0.0005446
25,2044.13,0.78492,0.85838,1.12421,0.72476,0.54236,0.60854,0.4395,1.21264,1.26664,1.20792,0.0005248,0.0005248,0.0005248
26,2124.9,0.78866,0.85366,1.12699,0.73173,0.54039,0.61535,0.44963,1.2062,1.24082,1.20449,0.000505,0.000505,0.000505
27,2205.8,0.77786,0.83812,1.12013,0.71436,0.56209,0.62554,0.45536,1.20169,1.21843,1.20133,0.0004852,0.0004852,0.0004852
28,2286.63,0.77417,0.82097,1.12069,0.71679,0.55134,0.61473,0.45035,1.19194,1.25024,1.2049,0.0004654,0.0004654,0.0004654
29,2367.71,0.7599,0.80489,1.10981,0.71384,0.55938,0.62695,0.45615,1.1909,1.21483,1.20209,0.0004456,0.0004456,0.0004456
30,2448.38,0.76651,0.79669,1.11256,0.73447,0.55025,0.62247,0.45756,1.18287,1.22396,1.18893,0.0004258,0.0004258,0.0004258
