epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.193,1.09131,8.26398,1.39284,0.42023,0.34101,0.31174,0.17255,1.67639,8.87913,1.74642,0.000332905,0.000332905,0.000332905
2,280.048,1.1573,6.79143,1.44985,0.49986,0.36857,0.37595,0.22028,1.59894,8.01268,1.67413,0.000653047,0.000653047,0.000653047
3,416.724,1.15597,6.60811,1.45753,0.44721,0.3718,0.34966,0.20018,1.64547,8.30877,1.71916,0.000959989,0.000959989,0.000959989
4,551.39,1.11259,6.1989,1.4178,0.54934,0.39784,0.41341,0.25581,1.54684,7.49667,1.62467,0.0009406,0.0009406,0.0009406
5,686.446,1.081,5.83089,1.39721,0.5544,0.43484,0.45366,0.28664,1.47476,6.89775,1.55777,0.0009208,0.0009208,0.0009208
6,820.824,1.04713,5.58388,1.37365,0.57294,0.43319,0.4578,0.29242,1.44905,6.79703,1.52184,0.000901,0.000901,0.000901
7,955.438,1.02098,5.32567,1.34752,0.56858,0.44601,0.47718,0.31442,1.43202,6.79118,1.52606,0.0008812,0.0008812,0.0008812
8,1091.52,0.99061,5.06337,1.32825,0.56343,0.45734,0.48204,0.3112,1.42684,6.62805,1.50036,0.0008614,0.0008614,0.0008614
9,1224.97,0.97707,4.95155,1.32221,0.63679,0.46183,0.51747,0.3469,1.38001,6.27573,1.47433,0.0008416,0.0008416,0.0008416
10,1358.44,0.96964,4.78529,1.31214,0.61289,0.47856,0.51635,0.34504,1.37971,6.22213,1.46618,0.0008218,0.0008218,0.0008218
11,1494.75,0.9574,4.69258,1.29952,0.64174,0.4747,0.52435,0.3496,1.36807,6.22316,1.43864,0.000802,0.000802,0.000802
12,1631.34,0.94685,4.6045,1.2939,0.62947,0.49965,0.53225,0.36112,1.33994,6.15502,1.43345,0.0007822,0.0007822,0.0007822
13,1769.76,0.92833,4.4405,1.28597,0.66519,0.49334,0.54518,0.3673,1.35418,6.01735,1.43843,0.0007624,0.0007624,0.0007624
14,1905.27,0.93504,4.38591,1.28196,0.68997,0.49576,0.56638,0.38597,1.35337,5.99886,1.42885,0.0007426,0.0007426,0.0007426
15,2043.54,0.92579,4.29655,1.27911,0.63581,0.52083,0.56468,0.38907,1.31569,5.88121,1.40939,0.0007228,0.0007228,0.0007228
16,2180.82,0.90643,4.22641,1.26365,0.68185,0.49831,0.56192,0.38434,1.32793,5.88919,1.4171,0.000703,0.000703,0.000703
17,2317.41,0.90079,4.07426,1.25487,0.66376,0.50885,0.56237,0.38368,1.32254,5.77706,1.40699,0.0006832,0.0006832,0.0006832
18,2454.08,0.90876,4.0435,1.25614,0.70183,0.51153,0.5739,0.39588,1.30613,5.69896,1.40491,0.0006634,0.0006634,0.0006634
19,2590.98,0.87738,3.87687,1.24354,0.6835,0.51745,0.57961,0.40055,1.31073,5.63719,1.39418,0.0006436,0.0006436,0.0006436
20,2731.11,0.87694,3.87816,1.23432,0.70409,0.51368,0.58792,0.41141,1.28527,5.75484,1.37442,0.0006238,0.0006238,0.0006238
21,2867.52,0.87472,3.77117,1.23313,0.71059,0.5295,0.60101,0.41852,1.28769,5.45351,1.37056,0.000604,0.000604,0.000604
22,3003.31,0.86421,3.73203,1.22763,0.70743,0.53322,0.59697,0.41531,1.29648,5.58037,1.39426,0.0005842,0.0005842,0.0005842
23,3138.03,0.86337,3.6779,1.22659,0.72841,0.52997,0.60759,0.42502,1.28158,5.49264,1.37704,0.0005644,0.0005644,0.0005644
24,3275,0.85871,3.60091,1.22215,0.73263,0.53601,0.60795,0.42394,1.27821,5.55094,1.37429,0.0005446,0.0005446,0.0005446
25,3408.93,0.84506,3.51401,1.2111,0.70079,0.54673,0.61165,0.43004,1.26418,5.47037,1.35523,0.0005248,0.0005248,0.0005248
26,3543.31,0.8436,3.48078,1.21408,0.71863,0.53515,0.60834,0.43144,1.25711,5.38108,1.3543,0.000505,0.000505,0.000505
27,3678.85,0.83782,3.41375,1.20591,0.71954,0.55157,0.61461,0.43736,1.25205,5.41152,1.35015,0.0004852,0.0004852,0.0004852
28,3813.98,0.83065,3.3639,1.20498,0.71285,0.55174,0.61814,0.43755,1.25616,5.25664,1.34946,0.0004654,0.0004654,0.0004654
29,3948.91,0.82092,3.25788,1.19526,0.72076,0.55699,0.62315,0.43716,1.26353,5.3504,1.35072,0.0004456,0.0004456,0.0004456
30,4083.31,0.82324,3.22745,1.1974,0.71469,0.56391,0.62069,0.44431,1.24735,5.33394,1.33406,0.0004258,0.0004258,0.0004258
31,4217.65,0.81725,3.21792,1.19324,0.74005,0.55056,0.62671,0.44773,1.25422,5.29613,1.33818,0.000406,0.000406,0.000406
32,4351.73,0.8046,3.15255,1.18447,0.73683,0.57024,0.63056,0.44489,1.24505,5.30625,1.33143,0.0003862,0.0003862,0.0003862
33,4486.15,0.80638,3.08443,1.18565,0.72555,0.56521,0.63285,0.44876,1.24711,5.29312,1.33551,0.0003664,0.0003664,0.0003664
34,4619.1,0.79737,3.04205,1.17741,0.74179,0.55425,0.63031,0.45017,1.24444,5.34107,1.33136,0.0003466,0.0003466,0.0003466
35,4752.99,0.79786,2.9913,1.1737,0.73597,0.55753,0.63304,0.4517,1.24139,5.26868,1.33768,0.0003268,0.0003268,0.0003268
36,4889.09,0.8024,2.99709,1.17752,0.72055,0.57566,0.63271,0.45386,1.23364,5.21828,1.33175,0.000307,0.000307,0.000307
