epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.381,1.13689,2.33288,1.50537,0.44863,0.28574,0.28115,0.15284,1.70919,2.58375,1.94892,0.000332905,0.000332905,0.000332905
2,426.96,1.16602,1.80373,1.54295,0.45753,0.35565,0.3396,0.19819,1.623,2.18607,1.88591,0.000653047,0.000653047,0.000653047
3,635.592,1.15884,1.76231,1.54633,0.45115,0.37156,0.34803,0.20742,1.5918,2.10713,1.77726,0.000959989,0.000959989,0.000959989
4,843.609,1.11249,1.6532,1.50528,0.48623,0.36055,0.36814,0.22124,1.56232,2.06433,1.75032,0.0009406,0.0009406,0.0009406
5,1051.46,1.0702,1.54697,1.469,0.55915,0.40435,0.42982,0.27122,1.45696,1.8024,1.68385,0.0009208,0.0009208,0.0009208
6,1259.81,1.0387,1.48054,1.4421,0.54627,0.41902,0.43752,0.27753,1.43192,1.84474,1.61169,0.000901,0.000901,0.000901
7,1467.39,1.01309,1.42463,1.41731,0.5158,0.42514,0.43329,0.28487,1.42876,1.85307,1.64536,0.0008812,0.0008812,0.0008812
8,1674.32,0.97794,1.33362,1.39241,0.57513,0.46012,0.49405,0.32771,1.36987,1.68878,1.57324,0.0008614,0.0008614,0.0008614
9,1881.51,0.96629,1.30905,1.38087,0.60625,0.44226,0.49139,0.32897,1.37563,1.67518,1.59205,0.0008416,0.0008416,0.0008416
10,2088.71,0.94836,1.26698,1.36576,0.59341,0.44078,0.47365,0.32086,1.35215,1.70037,1.56603,0.0008218,0.0008218,0.0008218
11,2296.12,0.94027,1.24137,1.35429,0.61633,0.4718,0.50898,0.34754,1.33175,1.63559,1.5291,0.000802,0.000802,0.000802
12,2503.49,0.92276,1.22007,1.34512,0.62159,0.47225,0.51882,0.35403,1.30298,1.58861,1.50771,0.0007822,0.0007822,0.0007822
13,2710.49,0.90508,1.16894,1.33179,0.60819,0.46992,0.50922,0.34839,1.30877,1.612,1.51017,0.0007624,0.0007624,0.0007624
14,2917.99,0.90761,1.15323,1.32755,0.60627,0.50072,0.53286,0.37324,1.28155,1.56942,1.49872,0.0007426,0.0007426,0.0007426
15,3125.64,0.89831,1.1249,1.32187,0.63347,0.50986,0.55172,0.38247,1.279,1.49715,1.48067,0.0007228,0.0007228,0.0007228
16,3332.69,0.87766,1.10739,1.30649,0.64689,0.5023,0.55363,0.38608,1.27168,1.50884,1.48259,0.000703,0.000703,0.000703
17,3540.11,0.87541,1.07186,1.29989,0.66905,0.50055,0.55985,0.38958,1.25619,1.46442,1.47454,0.0006832,0.0006832,0.0006832
18,3747.21,0.88216,1.05913,1.29675,0.66429,0.50169,0.56054,0.38846,1.27442,1.48251,1.49741,0.0006634,0.0006634,0.0006634
19,3954.11,0.8481,1.01617,1.28307,0.70157,0.50333,0.56586,0.39711,1.26124,1.47988,1.47455,0.0006436,0.0006436,0.0006436
20,4161.11,0.84593,1.0141,1.27525,0.68187,0.51252,0.57354,0.40046,1.2569,1.48018,1.46872,0.0006238,0.0006238,0.0006238
21,4368.46,0.84597,0.99408,1.27154,0.6552,0.53592,0.58047,0.41062,1.23339,1.43473,1.44924,0.000604,0.000604,0.000604
22,4575.46,0.83376,0.98421,1.26479,0.66578,0.52759,0.57979,0.41046,1.24227,1.45746,1.45486,0.0005842,0.0005842,0.0005842
23,4782.8,0.8337,0.95948,1.26214,0.68892,0.54114,0.59761,0.42176,1.24216,1.4007,1.44715,0.0005644,0.0005644,0.0005644
24,4990.43,0.82625,0.94818,1.25661,0.70074,0.52368,0.59138,0.42325,1.23131,1.43697,1.43717,0.0005446,0.0005446,0.0005446
25,5197.5,0.81318,0.92933,1.2425,0.68963,0.54999,0.60781,0.4327,1.22804,1.38891,1.43093,0.0005248,0.0005248,0.0005248
26,5404.48,0.81101,0.91464,1.24669,0.7023,0.53357,0.59911,0.42927,1.21508,1.38986,1.42182,0.000505,0.000505,0.000505
27,5611.55,0.80173,0.89183,1.23358,0.70084,0.55379,0.61759,0.44,1.21739,1.34466,1.42123,0.0004852,0.0004852,0.0004852
28,5818.27,0.79713,0.88018,1.23398,0.71211,0.53984,0.6039,0.43133,1.22073,1.38297,1.42891,0.0004654,0.0004654,0.0004654
29,6025.06,0.7859,0.85369,1.22236,0.7198,0.54175,0.61233,0.4398,1.20608,1.36388,1.42116,0.0004456,0.0004456,0.0004456
30,6231.81,0.78411,0.84397,1.21978,0.69702,0.55245,0.60635,0.43749,1.20626,1.355,1.41425,0.0004258,0.0004258,0.0004258
31,6438.72,0.78059,0.84108,1.21838,0.70918,0.54387,0.61356,0.4428,1.20166,1.35325,1.40959,0.000406,0.000406,0.000406
32,6645.44,0.76865,0.81793,1.21152,0.72169,0.55426,0.62363,0.44888,1.1997,1.3368,1.40097,0.0003862,0.0003862,0.0003862
33,6852.58,0.77125,0.81401,1.21126,0.71253,0.55901,0.61936,0.44687,1.19673,1.33763,1.40078,0.0003664,0.0003664,0.0003664
34,7059.82,0.75649,0.80095,1.20095,0.71918,0.54989,0.62022,0.44762,1.19904,1.35017,1.40918,0.0003466,0.0003466,0.0003466
35,7266.91,0.75488,0.78198,1.1958,0.70818,0.5613,0.61981,0.44851,1.19601,1.34383,1.40278,0.0003268,0.0003268,0.0003268
36,7473.62,0.75658,0.77927,1.20016,0.7197,0.56617,0.6286,0.45669,1.19569,1.33421,1.40639,0.000307,0.000307,0.000307
37,7680.61,0.74096,0.7465,1.18491,0.73813,0.55844,0.63025,0.4583,1.18492,1.3312,1.38744,0.0002872,0.0002872,0.0002872
38,7887.38,0.73716,0.74127,1.18423,0.72464,0.5628,0.62738,0.45544,1.18275,1.33181,1.38932,0.0002674,0.0002674,0.0002674
39,8094.35,0.72776,0.72251,1.17692,0.72701,0.55096,0.62342,0.45562,1.18371,1.34068,1.39044,0.0002476,0.0002476,0.0002476
40,8301.37,0.73053,0.7245,1.1778,0.7296,0.55999,0.626,0.45667,1.18778,1.33336,1.39274,0.0002278,0.0002278,0.0002278
41,8510.42,0.72967,0.70631,1.18674,0.71158,0.5736,0.62493,0.45701,1.18169,1.33334,1.38297,0.000208,0.000208,0.000208
42,8717.15,0.71012,0.66585,1.16322,0.72001,0.56889,0.6275,0.46003,1.17996,1.34291,1.38385,0.0001882,0.0001882,0.0001882
43,8924.08,0.70104,0.64316,1.15539,0.72361,0.57043,0.62814,0.45863,1.1783,1.33653,1.37796,0.0001684,0.0001684,0.0001684
44,9130.57,0.68911,0.62146,1.14416,0.73106,0.56472,0.62857,0.46118,1.1746,1.33735,1.37396,0.0001486,0.0001486,0.0001486
45,9337.11,0.67991,0.60136,1.13195,0.73906,0.56094,0.63102,0.46177,1.17799,1.34038,1.3756,0.0001288,0.0001288,0.0001288
