epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.849,1.02854,2.29673,1.36204,0.49737,0.40111,0.38754,0.25765,1.31754,1.89592,1.40349,0.00166453,0.00166453,0.068374
2,280.423,0.90577,1.38849,1.26084,0.48949,0.42905,0.40654,0.27082,1.32873,1.82962,1.41593,0.00326524,0.00326524,0.0366414
3,414.6,0.9471,1.3725,1.29056,0.54151,0.41331,0.43097,0.28051,1.43945,1.81695,1.51104,0.00479995,0.00479995,0.00484274
4,547.966,0.99485,1.42472,1.3202,0.56272,0.43079,0.45055,0.29904,1.38635,1.71621,1.48727,0.004703,0.004703,0.004703
5,681.182,0.98155,1.35427,1.31576,0.49275,0.42884,0.42294,0.27091,1.42018,1.78205,1.49163,0.004604,0.004604,0.004604
6,814.356,0.96484,1.30426,1.30035,0.5825,0.43786,0.47368,0.31541,1.35902,1.67723,1.43918,0.004505,0.004505,0.004505
7,947.704,0.94686,1.25137,1.28648,0.61383,0.46638,0.5113,0.35195,1.35025,1.57132,1.43273,0.004406,0.004406,0.004406
8,1080.79,0.92123,1.19497,1.2686,0.59545,0.4773,0.49975,0.33789,1.33431,1.63457,1.41082,0.004307,0.004307,0.004307
9,1214,0.91237,1.1682,1.26108,0.64454,0.46036,0.52116,0.36117,1.30651,1.57382,1.4049,0.004208,0.004208,0.004208
10,1347.09,0.89804,1.1332,1.25003,0.63123,0.50323,0.5408,0.38236,1.27353,1.489,1.36998,0.004109,0.004109,0.004109
11,1480.25,0.88273,1.10145,1.23594,0.66808,0.48952,0.54666,0.38589,1.25855,1.48107,1.33718,0.00401,0.00401,0.00401
12,1613.3,0.87714,1.08159,1.23466,0.65315,0.49536,0.54725,0.38414,1.27863,1.49294,1.3674,0.003911,0.003911,0.003911
13,1746.18,0.86215,1.03715,1.22778,0.68029,0.50373,0.56702,0.40288,1.26219,1.43687,1.34188,0.003812,0.003812,0.003812
14,1879.56,0.86871,1.03232,1.22382,0.67076,0.52816,0.57833,0.40649,1.25369,1.45641,1.33175,0.003713,0.003713,0.003713
15,2012.52,0.85234,0.99993,1.21473,0.68673,0.51777,0.57525,0.40956,1.23052,1.40498,1.31623,0.003614,0.003614,0.003614
16,2145.43,0.83824,0.97931,1.20335,0.68604,0.52211,0.58543,0.41879,1.21778,1.36382,1.30465,0.003515,0.003515,0.003515
17,2278.53,0.8374,0.9563,1.19978,0.69179,0.51869,0.58895,0.42069,1.21962,1.33181,1.31206,0.003416,0.003416,0.003416
18,2411.66,0.84116,0.94321,1.19593,0.69246,0.5317,0.59424,0.4298,1.21017,1.36602,1.30614,0.003317,0.003317,0.003317
19,2544.64,0.81259,0.9075,1.1858,0.68924,0.54467,0.60517,0.43273,1.21788,1.33088,1.30517,0.003218,0.003218,0.003218
20,2677.56,0.81009,0.90485,1.17895,0.71537,0.53196,0.5964,0.43277,1.20757,1.39647,1.28272,0.003119,0.003119,0.003119
