epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.678,1.08017,6.1903,1.38905,0.10507,0.34941,0.0683,0.03772,1.60485,140.486,1.70078,0.000332905,0.000332905,0.000332905
2,268.13,1.14464,5.09403,1.44862,0.47987,0.37071,0.35532,0.20235,1.6287,6.04922,1.7007,0.000653047,0.000653047,0.000653047
3,397.615,1.14305,4.98276,1.45264,0.51526,0.38024,0.37571,0.23606,1.56344,6.31662,1.65438,0.000959989,0.000959989,0.000959989
4,526.65,1.09967,4.6441,1.4123,0.54605,0.40758,0.41893,0.26314,1.5266,5.53052,1.62988,0.0009406,0.0009406,0.0009406
5,655.68,1.06313,4.37247,1.3867,0.5346,0.42235,0.43634,0.28147,1.45603,5.31297,1.54741,0.0009208,0.0009208,0.0009208
6,784.742,1.03825,4.20493,1.36732,0.58584,0.44532,0.46391,0.30329,1.41837,5.20259,1.51819,0.000901,0.000901,0.000901
7,913.605,1.00734,4.00085,1.34093,0.57889,0.44936,0.48092,0.32117,1.41786,5.03454,1.49275,0.0008812,0.0008812,0.0008812
8,1042.21,0.98272,3.79422,1.32347,0.59241,0.48624,0.50743,0.332,1.41069,4.8778,1.50608,0.0008614,0.0008614,0.0008614
9,1171.15,0.97301,3.74624,1.31394,0.59933,0.49164,0.52712,0.35489,1.37502,4.72427,1.46254,0.0008416,0.0008416,0.0008416
10,1300.52,0.95202,3.57519,1.29935,0.61671,0.47311,0.50614,0.34577,1.36425,4.71275,1.46239,0.0008218,0.0008218,0.0008218
11,1429.32,0.94613,3.52095,1.29076,0.61275,0.4933,0.53008,0.36079,1.33601,4.53994,1.41933,0.000802,0.000802,0.000802
12,1557.89,0.92924,3.43878,1.2854,0.62413,0.49798,0.53599,0.36403,1.32511,4.64415,1.42325,0.0007822,0.0007822,0.0007822
13,1686.47,0.9134,3.32273,1.27587,0.63013,0.508,0.5485,0.37434,1.33643,4.43141,1.41966,0.0007624,0.0007624,0.0007624
14,1815.37,0.91995,3.28506,1.27188,0.67047,0.50139,0.55891,0.38637,1.312,4.46657,1.40329,0.0007426,0.0007426,0.0007426
15,1944,0.90961,3.20848,1.26837,0.64694,0.5166,0.5596,0.38858,1.29944,4.3542,1.38788,0.0007228,0.0007228,0.0007228
16,2072.76,0.89178,3.14942,1.25457,0.68733,0.49509,0.56555,0.38816,1.289,4.33988,1.39434,0.000703,0.000703,0.000703
17,2201.43,0.88961,3.0408,1.24623,0.66402,0.51013,0.56529,0.39353,1.28662,4.25407,1.38125,0.0006832,0.0006832,0.0006832
18,2330.35,0.89484,3.02381,1.24735,0.68369,0.50782,0.56871,0.39233,1.29599,4.28182,1.38651,0.0006634,0.0006634,0.0006634
19,2459.03,0.85975,2.90017,1.23157,0.7016,0.5154,0.5849,0.40748,1.28831,4.19478,1.38612,0.0006436,0.0006436,0.0006436
20,2587.73,0.86255,2.89316,1.22576,0.70739,0.52249,0.58002,0.40938,1.26866,4.25109,1.36033,0.0006238,0.0006238,0.0006238
21,2716.77,0.86612,2.82818,1.22511,0.69643,0.54172,0.60654,0.42347,1.26775,4.09564,1.35131,0.000604,0.000604,0.000604
22,2845.58,0.85258,2.79417,1.22044,0.7205,0.5197,0.59809,0.42421,1.24728,4.13345,1.357,0.0005842,0.0005842,0.0005842
23,2974.21,0.85103,2.73359,1.21863,0.69814,0.54524,0.60503,0.43004,1.25183,4.05107,1.34867,0.0005644,0.0005644,0.0005644
24,3103.31,0.84468,2.68206,1.21175,0.71352,0.53232,0.60247,0.42814,1.24372,4.07184,1.34407,0.0005446,0.0005446,0.0005446
25,3231.83,0.83035,2.62365,1.19967,0.70239,0.54485,0.6123,0.43239,1.24697,4.0489,1.34024,0.0005248,0.0005248,0.0005248
26,3360.22,0.83183,2.59539,1.20412,0.7392,0.53979,0.62322,0.44381,1.24365,3.94078,1.33964,0.000505,0.000505,0.000505
27,3489.01,0.82505,2.54854,1.19513,0.73987,0.54689,0.62276,0.44354,1.23991,3.97812,1.33078,0.0004852,0.0004852,0.0004852
28,3617.66,0.81868,2.51388,1.19548,0.71366,0.56745,0.62456,0.44494,1.23687,3.96779,1.33357,0.0004654,0.0004654,0.0004654
29,3746.34,0.80559,2.44681,1.18356,0.69418,0.57305,0.62366,0.44128,1.23567,3.98407,1.32717,0.0004456,0.0004456,0.0004456
30,3874.97,0.80902,2.4235,1.18779,0.71563,0.55403,0.61646,0.44196,1.22792,3.97814,1.32494,0.0004258,0.0004258,0.0004258
31,4003.58,0.80839,2.42144,1.18503,0.73671,0.55519,0.62785,0.45055,1.22603,3.96079,1.32486,0.000406,0.000406,0.000406
32,4132.13,0.79213,2.35977,1.17647,0.72984,0.5654,0.63573,0.45593,1.22894,3.92051,1.32287,0.0003862,0.0003862,0.0003862
33,4261.1,0.7939,2.30497,1.1762,0.70854,0.5799,0.62934,0.45503,1.22121,3.87484,1.32155,0.0003664,0.0003664,0.0003664
34,4389.97,0.78236,2.27615,1.16928,0.73163,0.57628,0.63451,0.45832,1.21156,3.93251,1.31158,0.0003466,0.0003466,0.0003466
35,4518.31,0.78249,2.22052,1.16554,0.7445,0.56214,0.63167,0.45672,1.21267,3.91749,1.31408,0.0003268,0.0003268,0.0003268
36,4646.84,0.78679,2.23063,1.16687,0.72647,0.5778,0.6379,0.46339,1.2095,3.83349,1.30691,0.000307,0.000307,0.000307
37,4775.78,0.76954,2.1505,1.15203,0.73909,0.57228,0.63895,0.46471,1.20067,3.85028,1.29714,0.0002872,0.0002872,0.0002872
38,4904.59,0.76597,2.11414,1.15546,0.74097,0.57986,0.63881,0.46406,1.20323,3.85324,1.29836,0.0002674,0.0002674,0.0002674
39,5033.42,0.75809,2.07159,1.15008,0.74964,0.57381,0.63592,0.46242,1.21151,3.91605,1.30774,0.0002476,0.0002476,0.0002476
40,5162.06,0.76466,2.08259,1.15202,0.73772,0.58055,0.64258,0.4668,1.2012,3.88223,1.29474,0.0002278,0.0002278,0.0002278
41,5294.58,0.75437,1.95149,1.14346,0.73887,0.57851,0.63774,0.46353,1.2134,3.86424,1.30019,0.000208,0.000208,0.000208
42,5424.73,0.73885,1.85109,1.13101,0.74193,0.57564,0.64126,0.46638,1.20445,3.87214,1.2967,0.0001882,0.0001882,0.0001882
43,5554.8,0.72952,1.79426,1.12393,0.73796,0.58228,0.64191,0.46793,1.19775,3.80885,1.28935,0.0001684,0.0001684,0.0001684
44,5684.93,0.72445,1.74144,1.11625,0.7538,0.57798,0.64015,0.46899,1.20369,3.86451,1.29423,0.0001486,0.0001486,0.0001486
45,5814.66,0.71699,1.6897,1.10862,0.7481,0.58379,0.6425,0.47221,1.20057,3.89605,1.28696,0.0001288,0.0001288,0.0001288
46,5944.33,0.71102,1.64755,1.10624,0.75526,0.57802,0.64252,0.4711,1.20021,3.90761,1.29225,0.000109,0.000109,0.000109
47,6073.96,0.70645,1.6349,1.10672,0.73303,0.58722,0.64313,0.4714,1.20398,3.92243,1.29333,8.92e-05,8.92e-05,8.92e-05
48,6204.47,0.70319,1.58881,1.10357,0.73738,0.58703,0.64149,0.46986,1.20269,3.93443,1.29272,6.94e-05,6.94e-05,6.94e-05
49,6334.33,0.69332,1.56673,1.09524,0.73358,0.58817,0.64025,0.46923,1.19967,3.94098,1.28988,4.96e-05,4.96e-05,4.96e-05
50,6464.2,0.69376,1.53808,1.09632,0.74797,0.58219,0.63921,0.46892,1.19757,3.95414,1.29061,2.98e-05,2.98e-05,2.98e-05
