epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.68,1.09554,2.32208,1.42157,0.4154,0.35295,0.32244,0.19202,1.55948,2.14401,1.63774,0.000332905,0.000332905,0.000332905
2,288.591,1.18212,1.87448,1.49876,0.4159,0.3377,0.30641,0.17795,1.61983,2.21289,1.68418,0.000653047,0.000653047,0.000653047
3,422.728,1.17474,1.83324,1.49357,0.43133,0.32533,0.29666,0.18696,1.58607,2.1789,1.63542,0.000959989,0.000959989,0.000959989
4,560.082,1.13081,1.71763,1.45833,0.50017,0.39966,0.40433,0.26538,1.47333,1.84807,1.53876,0.0009406,0.0009406,0.0009406
5,693.405,1.09228,1.62682,1.42867,0.46806,0.39136,0.37987,0.24403,1.44917,1.87224,1.52288,0.0009208,0.0009208,0.0009208
6,830.668,1.05546,1.54118,1.39594,0.53231,0.41798,0.43072,0.28473,1.4295,1.75621,1.51356,0.000901,0.000901,0.000901
7,967.726,1.01887,1.44917,1.37006,0.58858,0.43968,0.46542,0.31582,1.37772,1.72359,1.47242,0.0008812,0.0008812,0.0008812
8,1100.88,0.99765,1.38903,1.34967,0.57236,0.45735,0.47637,0.32553,1.36888,1.66515,1.45521,0.0008614,0.0008614,0.0008614
9,1238.12,0.98017,1.35692,1.33625,0.61297,0.45438,0.50133,0.34687,1.32491,1.58821,1.41878,0.0008416,0.0008416,0.0008416
10,1371.5,0.96326,1.31986,1.32206,0.5781,0.48628,0.50794,0.34928,1.31347,1.55206,1.39878,0.0008218,0.0008218,0.0008218
11,1509.13,0.94243,1.27335,1.31079,0.60742,0.46904,0.5045,0.34982,1.30935,1.57289,1.39301,0.000802,0.000802,0.000802
12,1642.22,0.94267,1.25528,1.30454,0.61295,0.489,0.52151,0.3611,1.28544,1.51868,1.38599,0.0007822,0.0007822,0.0007822
13,1779.83,0.91726,1.21392,1.28817,0.65348,0.47482,0.52376,0.37034,1.27798,1.53124,1.37592,0.0007624,0.0007624,0.0007624
14,1913.02,0.901,1.16697,1.27504,0.65582,0.49361,0.54388,0.38571,1.26886,1.47221,1.36066,0.0007426,0.0007426,0.0007426
15,2050.42,0.88793,1.14138,1.26071,0.65265,0.50929,0.55893,0.39631,1.25345,1.41646,1.34632,0.0007228,0.0007228,0.0007228
16,2183.47,0.88765,1.13417,1.26058,0.67401,0.51488,0.56753,0.40002,1.26835,1.42617,1.35787,0.000703,0.000703,0.000703
17,2320.86,0.88202,1.09729,1.25211,0.648,0.50892,0.55778,0.39588,1.24177,1.42372,1.34291,0.0006832,0.0006832,0.0006832
18,2453.76,0.85994,1.06468,1.24085,0.67449,0.50634,0.56869,0.40693,1.24061,1.39209,1.33806,0.0006634,0.0006634,0.0006634
19,2586.53,0.85388,1.04482,1.233,0.67527,0.53337,0.58554,0.41313,1.24875,1.39211,1.33832,0.0006436,0.0006436,0.0006436
20,2719.59,0.85112,1.02517,1.2261,0.67382,0.51764,0.5779,0.41282,1.23187,1.38435,1.3272,0.0006238,0.0006238,0.0006238
21,2857.17,0.84696,1.00977,1.22302,0.6654,0.52349,0.582,0.41377,1.2254,1.38649,1.31952,0.000604,0.000604,0.000604
22,3006.73,0.83872,0.9988,1.22011,0.71542,0.52607,0.59709,0.42743,1.22888,1.35159,1.32017,0.0005842,0.0005842,0.0005842
23,3153.46,0.83319,0.98154,1.2138,0.68149,0.54713,0.59498,0.42949,1.21896,1.36859,1.32082,0.0005644,0.0005644,0.0005644
24,3291.45,0.82695,0.95872,1.20605,0.69489,0.53855,0.60072,0.43467,1.21086,1.35016,1.29976,0.0005446,0.0005446,0.0005446
25,3424.38,0.81322,0.93779,1.20144,0.69584,0.55089,0.61019,0.44138,1.20131,1.31158,1.29982,0.0005248,0.0005248,0.0005248
26,3557.38,0.81727,0.92819,1.19954,0.71229,0.53415,0.6042,0.4364,1.20989,1.32641,1.29293,0.000505,0.000505,0.000505
27,3690.6,0.80725,0.90066,1.18964,0.7094,0.54358,0.60898,0.43726,1.20113,1.30913,1.29365,0.0004852,0.0004852,0.0004852
28,3823.63,0.80811,0.8997,1.18779,0.68635,0.55347,0.60617,0.44422,1.18419,1.3134,1.28225,0.0004654,0.0004654,0.0004654
29,3956.67,0.79098,0.86905,1.18057,0.70831,0.54992,0.61365,0.44735,1.18916,1.29586,1.28634,0.0004456,0.0004456,0.0004456
30,4089.89,0.78219,0.85555,1.16905,0.7114,0.55507,0.61891,0.4535,1.19155,1.28909,1.2848,0.0004258,0.0004258,0.0004258
31,4226.93,0.78278,0.8555,1.17496,0.70947,0.55497,0.61509,0.44834,1.18482,1.29902,1.29295,0.000406,0.000406,0.000406
32,4366.93,0.77577,0.82606,1.1644,0.68172,0.56777,0.615,0.45003,1.18783,1.32023,1.28566,0.0003862,0.0003862,0.0003862
33,4500.23,0.76562,0.81197,1.15631,0.71909,0.55426,0.62149,0.45434,1.18178,1.27728,1.28485,0.0003664,0.0003664,0.0003664
34,4633.08,0.76863,0.79929,1.15602,0.71083,0.562,0.62358,0.45693,1.17514,1.27087,1.27392,0.0003466,0.0003466,0.0003466
35,4766.49,0.7585,0.78406,1.15107,0.72763,0.55821,0.62783,0.45982,1.1726,1.29039,1.27042,0.0003268,0.0003268,0.0003268
36,4899.83,0.75213,0.77588,1.14454,0.72229,0.56458,0.62422,0.46016,1.16725,1.28877,1.2681,0.000307,0.000307,0.000307
37,5033.28,0.74038,0.76525,1.14412,0.73538,0.56035,0.63068,0.46451,1.16385,1.27464,1.26347,0.0002872,0.0002872,0.0002872
38,5166.83,0.74536,0.7498,1.14235,0.74736,0.55745,0.62883,0.46447,1.16739,1.28891,1.27206,0.0002674,0.0002674,0.0002674
39,5301.57,0.73686,0.73514,1.13311,0.74006,0.55995,0.62798,0.46589,1.15685,1.27045,1.26009,0.0002476,0.0002476,0.0002476
40,5435.23,0.72698,0.72488,1.12899,0.72487,0.57679,0.63248,0.46905,1.15745,1.26887,1.26499,0.0002278,0.0002278,0.0002278
41,5573.77,0.68747,0.63742,1.09733,0.73634,0.57058,0.63211,0.46942,1.15915,1.27799,1.26626,0.000208,0.000208,0.000208
42,5707.01,0.67309,0.61033,1.08259,0.74025,0.57323,0.63501,0.47207,1.14932,1.27365,1.25547,0.0001882,0.0001882,0.0001882
43,5843.99,0.67021,0.59713,1.08161,0.72949,0.56965,0.62871,0.46823,1.15493,1.27206,1.26225,0.0001684,0.0001684,0.0001684
44,5981.61,0.6638,0.57609,1.07198,0.73155,0.56847,0.62693,0.46709,1.15317,1.28806,1.25968,0.0001486,0.0001486,0.0001486
45,6129.2,0.65548,0.56228,1.06491,0.72536,0.57414,0.63208,0.46886,1.15429,1.28364,1.26325,0.0001288,0.0001288,0.0001288
46,6267.26,0.64633,0.54838,1.06181,0.72093,0.57661,0.62982,0.46867,1.15613,1.29473,1.26459,0.000109,0.000109,0.000109
47,6405.25,0.64158,0.54518,1.0619,0.72722,0.57439,0.62912,0.46796,1.15847,1.28797,1.26664,8.92e-05,8.92e-05,8.92e-05
48,6543.04,0.64,0.53161,1.05816,0.75299,0.56161,0.62935,0.46995,1.15753,1.28653,1.2671,6.94e-05,6.94e-05,6.94e-05
49,6685.54,0.62951,0.52116,1.05116,0.74992,0.56944,0.6293,0.46996,1.15584,1.28719,1.26366,4.96e-05,4.96e-05,4.96e-05
50,6818.74,0.62862,0.51426,1.04752,0.75787,0.56092,0.62618,0.46809,1.15383,1.30359,1.26488,2.98e-05,2.98e-05,2.98e-05
